"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86" "87" "88" "89" "90" "91" "92" "93" "94" "95" "96" "97" "98" "99" "100" "101" "102" "103" "104" "105" "106" "107" "108" "109" "110"
"1969" 0.01853 0.00128 0.00081 0.00055 0.00054 0.00047 0.00032 0.00034 0.00031 0.00027 0.00026 0.00028 0.00028 0.00035 0.00035 0.00039 0.00059 0.00075 0.00077 0.00074 0.00066 0.00071 0.00071 0.00065 0.00073 0.00071 0.00073 0.00072 0.00079 0.00079 0.00084 0.00081 0.00101 0.00094 0.00114 0.00122 0.0013 0.0014 0.00164 0.0018 0.00211 0.00241 0.00262 0.00298 0.00333 0.00362 0.00406 0.0045 0.00509 0.00603 0.00569 0.00644 0.00747 0.00827 0.0092 0.00988 0.01124 0.01186 0.01351 0.0147 0.01638 0.0178 0.01991 0.02192 0.02473 0.02678 0.02875 0.03218 0.03629 0.03935 0.04147 0.04498 0.05056 0.05496 0.06077 0.06515 0.07216 0.0751 0.08433 0.09001 0.09952 0.10597 0.11875 0.12882 0.14343 0.15374 0.16968 0.18355 0.19912 0.21309 0.23576 0.2456 0.27793 0.29831 0.31657 0.3413 0.36541 0.39029 0.41582 0.44187 0.46832 0.49501 0.5218 0.54853 0.57504 0.60119 0.62682 0.65181 0.67604 0.6994 0.7218
"1970" 0.0188 0.00117 0.00074 0.00056 0.00048 0.00042 0.00041 0.00035 0.00028 0.00028 0.00032 0.00028 0.00032 0.00029 3e-04 4e-04 6e-04 7e-04 0.00072 0.00071 0.00085 0.00074 0.00071 0.00071 0.00062 0.00069 0.00072 0.00072 0.00073 0.00078 0.00085 9e-04 0.00095 0.00098 0.00104 0.00114 0.0013 0.00143 0.00156 0.00177 0.00206 0.00222 0.00258 0.0029 0.00316 0.00355 0.00391 0.00449 0.00501 0.00554 0.00644 0.0062 0.00717 0.00816 0.00883 0.01014 0.01064 0.01202 0.013 0.01449 0.01605 0.0172 0.01955 0.02083 0.02372 0.02602 0.02808 0.03134 0.0342 0.03783 0.04203 0.04315 0.04866 0.05377 0.05815 0.06404 0.06936 0.07595 0.08187 0.08931 0.09822 0.10588 0.11764 0.12466 0.14342 0.15487 0.16683 0.18078 0.19795 0.21393 0.23562 0.24637 0.27748 0.29619 0.3203 0.34258 0.36712 0.39243 0.41841 0.44493 0.47183 0.49896 0.52617 0.55328 0.58014 0.60659 0.63248 0.65768 0.68206 0.70553 0.72798
"1971" 0.01812 0.00114 7e-04 0.00055 0.00045 0.00044 0.00038 0.00035 0.00032 0.00033 0.00033 0.00026 0.00026 0.00034 0.00038 4e-04 0.00064 0.00073 0.00071 0.00079 0.00074 0.00075 0.00069 0.00069 0.00062 0.00065 0.00068 0.00071 0.00072 0.00073 8e-04 0.00085 0.00097 0.00098 0.00103 0.00119 0.0013 0.00147 0.00147 0.00171 0.00204 0.00223 0.0025 0.00282 0.0031 0.00352 0.00402 0.00454 0.00485 0.00544 0.00597 0.00696 0.00674 0.00787 0.00884 0.00953 0.01044 0.0115 0.0127 0.01393 0.01538 0.01676 0.01868 0.02066 0.02249 0.02498 0.02669 0.02968 0.03269 0.03587 0.03962 0.0433 0.04632 0.05101 0.05583 0.06126 0.06721 0.07207 0.08104 0.08706 0.09603 0.10289 0.11424 0.12727 0.13671 0.151 0.16642 0.17886 0.19169 0.21243 0.22745 0.2512 0.26658 0.29469 0.31197 0.33704 0.36147 0.38671 0.41266 0.43918 0.46613 0.49335 0.52068 0.54796 0.57501 0.60168 0.62781 0.65327 0.67793 0.70167 0.72441
"1972" 0.0173 0.00116 0.00077 0.00062 0.00047 0.00041 0.00041 0.00034 0.00034 3e-04 0.00026 0.00027 0.00026 0.00027 0.00035 4e-04 0.00056 0.00075 0.00076 8e-04 0.00072 0.00078 0.00078 0.00071 0.00066 7e-04 0.00069 0.00068 0.00069 0.00076 0.00082 0.00084 0.00087 0.00094 0.00104 0.00119 0.0013 0.00143 0.00157 0.00174 0.00187 0.00223 0.00248 0.00283 0.00318 0.00367 0.00405 0.00435 0.00486 0.00566 0.00613 0.00683 0.00801 0.00762 0.00893 0.00975 0.01073 0.01199 0.01305 0.01429 0.01564 0.01737 0.0188 0.021 0.02321 0.0253 0.02759 0.031 0.03358 0.03774 0.04082 0.04453 0.0504 0.05329 0.0581 0.06333 0.06982 0.07636 0.08253 0.09241 0.09882 0.10634 0.12058 0.13009 0.14195 0.1554 0.17429 0.18388 0.19971 0.21757 0.23218 0.25534 0.29001 0.29762 0.33682 0.34918 0.37422 0.40002 0.42647 0.45342 0.48072 0.5082 0.53569 0.56304 0.59007 0.61662 0.64254 0.6677 0.69198 0.71528 0.73751
"1973" 0.01692 0.00112 0.00071 6e-04 0.00045 0.00044 0.00039 0.00031 0.00029 0.00027 0.00025 0.00029 0.00025 0.00027 0.00034 0.00044 0.00053 0.00073 0.00084 0.00079 0.00081 0.00081 0.00076 0.00073 0.00075 0.00072 7e-04 0.00074 0.00077 8e-04 8e-04 0.00077 0.00097 0.00095 0.00111 0.0012 0.00132 0.00136 0.00147 0.00171 0.00195 0.0022 0.00259 0.00275 0.003 0.00372 0.00393 0.00441 0.0049 0.00558 0.00609 0.00641 0.00733 0.00859 0.00814 0.00951 0.01091 0.01158 0.01315 0.01414 0.01521 0.01663 0.01857 0.02018 0.02255 0.02516 0.02681 0.03 0.03301 0.03663 0.03972 0.04274 0.0485 0.05313 0.05705 0.06261 0.06859 0.07416 0.08116 0.08995 0.09768 0.10442 0.1176 0.13143 0.14416 0.15455 0.16925 0.18358 0.20288 0.21478 0.23825 0.24875 0.27394 0.30261 0.33228 0.34911 0.37438 0.40043 0.42714 0.45436 0.48193 0.50969 0.53745 0.56506 0.59232 0.61909 0.64521 0.67053 0.69495 0.71836 0.74067
"1974" 0.01666 0.00111 0.00066 0.00057 0.00041 0.00038 0.00034 0.00032 0.00027 0.00024 0.00027 0.00028 0.00025 0.00029 0.00031 4e-04 0.00049 0.00074 0.00081 0.00085 8e-04 0.00071 0.00065 7e-04 0.00069 0.00064 0.00068 0.00068 0.00065 0.00075 0.00085 0.00073 0.00086 0.00098 0.00107 0.00116 0.00125 0.00144 0.0015 0.00165 0.00194 0.00213 0.00244 0.00276 0.00309 0.00336 0.00391 0.00445 0.00482 0.00548 0.00612 0.00649 0.00732 0.00795 0.00948 0.00882 0.01011 0.01176 0.01276 0.01427 0.01551 0.01652 0.01851 0.01992 0.02226 0.02457 0.02712 0.02916 0.03272 0.03593 0.03865 0.04315 0.04743 0.05251 0.05843 0.06048 0.0668 0.07331 0.07911 0.08697 0.09482 0.10476 0.11603 0.12673 0.14071 0.15336 0.16912 0.17953 0.19867 0.21283 0.23904 0.25573 0.27695 0.30415 0.33514 0.35004 0.37579 0.40234 0.42956 0.45729 0.48537 0.51362 0.54186 0.56989 0.59756 0.62467 0.65108 0.67663 0.70123 0.72475 0.74712
"1975" 0.0158 0.00102 0.00058 0.00052 0.00042 0.00036 3e-04 0.00031 0.00027 0.00027 0.00024 0.00024 0.00028 0.00027 0.00032 0.00034 0.00052 0.00076 0.00082 0.00076 0.00079 0.00079 0.00074 0.00067 0.00066 0.00069 0.00072 0.00067 0.00069 7e-04 0.00078 0.00088 0.00086 0.00095 0.00101 0.00113 0.00121 0.00134 0.00141 0.00164 0.00181 0.00202 0.00236 0.0026 0.00305 0.00329 0.00372 0.00421 0.0047 0.00546 0.00593 0.00656 0.00721 0.00771 0.00846 0.00996 0.00949 0.01102 0.01255 0.01364 0.01516 0.01668 0.01823 0.01963 0.02209 0.02442 0.02675 0.02901 0.03142 0.03487 0.03811 0.04178 0.04642 0.05053 0.0566 0.06158 0.06524 0.07193 0.07873 0.08664 0.09565 0.10209 0.114 0.12628 0.13961 0.14992 0.16631 0.1811 0.19077 0.21355 0.23556 0.24858 0.27037 0.29939 0.31186 0.34282 0.368 0.39401 0.42073 0.448 0.47568 0.50358 0.53154 0.55938 0.58692 0.61398 0.64042 0.66608 0.69085 0.7146 0.73726
"1976" 0.01443 0.00098 0.00057 0.00045 0.00039 0.00037 0.00032 0.00028 0.00025 0.00025 0.00025 0.00024 0.00026 0.00029 0.00031 0.00032 0.00053 0.00075 0.00082 0.00079 0.00078 0.00073 0.00073 0.00064 0.00069 0.00065 0.00069 0.00075 7e-04 0.00069 0.00077 0.00083 0.00088 0.00093 0.00098 0.00108 0.00128 0.00138 0.00139 0.00159 0.00176 0.00207 0.00234 0.00265 0.00289 0.00323 0.00365 0.00418 0.00447 0.00532 0.00598 0.00632 0.00734 0.00788 0.00871 0.00953 0.01112 0.01069 0.01224 0.01403 0.01526 0.0171 0.01841 0.02027 0.02235 0.02422 0.02649 0.02944 0.03164 0.03555 0.03907 0.0428 0.04621 0.05207 0.05601 0.0625 0.06921 0.07228 0.07999 0.08845 0.0972 0.10596 0.11694 0.13073 0.14125 0.15669 0.17151 0.1866 0.20394 0.22063 0.24547 0.25976 0.28572 0.31681 0.32682 0.35995 0.38649 0.4138 0.44174 0.47015 0.49883 0.52761 0.55627 0.58464 0.61252 0.63974 0.66614 0.6916 0.71598 0.7392 0.76118
"1977" 0.01426 0.00086 0.00059 0.00047 4e-04 0.00033 0.00029 0.00025 0.00025 0.00022 0.00023 0.00022 0.00021 0.00027 0.00029 0.00035 0.00048 0.00078 7e-04 0.00075 0.00073 0.00069 0.00076 0.00072 0.00064 0.00064 0.00067 0.00069 0.00067 0.00074 0.00068 0.00073 0.00091 0.00088 0.00099 0.00101 0.00119 0.0013 0.00151 0.00159 0.00168 0.00191 0.0023 0.00248 0.00288 0.00312 0.00353 0.00407 0.00457 0.00507 0.00579 0.0063 0.00692 0.00774 0.00833 0.00946 0.01006 0.01189 0.01133 0.01304 0.01495 0.01622 0.01772 0.01951 0.02143 0.02323 0.02545 0.02834 0.03089 0.03426 0.03711 0.04018 0.04524 0.04926 0.05408 0.0588 0.06539 0.07173 0.07564 0.08281 0.09205 0.0985 0.11147 0.12089 0.13473 0.14551 0.16032 0.17129 0.18599 0.20582 0.22194 0.24312 0.26313 0.29056 0.3073 0.33142 0.35596 0.38136 0.4075 0.43425 0.46147 0.48899 0.51665 0.54426 0.57167 0.59871 0.62521 0.65102 0.67603 0.7001 0.72315
"1978" 0.01378 0.00097 0.00054 0.00047 0.00037 0.00033 3e-04 0.00028 0.00024 0.00028 0.00026 0.00024 0.00024 0.00026 3e-04 0.00035 0.00051 0.00078 0.00084 0.00077 0.00077 7e-04 0.00073 7e-04 0.00071 7e-04 7e-04 0.00069 0.00075 0.00073 0.00075 0.00079 0.00085 9e-04 0.00102 0.0011 0.00113 0.00135 0.00154 0.00175 0.00176 0.00199 0.00226 0.00245 0.00281 0.00318 0.00349 0.00406 0.00446 0.00497 0.00559 0.0065 0.00703 0.00788 0.00865 0.00929 0.01023 0.01139 0.01321 0.01239 0.01455 0.01654 0.01777 0.01975 0.02167 0.02351 0.02571 0.02865 0.03146 0.03426 0.03745 0.04054 0.04461 0.04941 0.05441 0.05948 0.06518 0.07077 0.07767 0.08409 0.09349 0.10042 0.10971 0.12069 0.13211 0.14569 0.16026 0.17071 0.18832 0.20865 0.22102 0.23951 0.26513 0.27993 0.31024 0.32956 0.35399 0.3793 0.40538 0.43208 0.45928 0.4868 0.51447 0.54213 0.5696 0.59671 0.62329 0.6492 0.67431 0.6985 0.72166
"1979" 0.01336 8e-04 5e-04 4e-04 0.00036 0.00031 0.00031 0.00026 0.00027 0.00026 0.00022 0.00024 0.00023 0.00025 0.00033 0.00032 0.00043 0.00069 8e-04 0.00078 7e-04 0.00069 0.00066 0.00064 0.00064 0.00065 0.00072 0.00071 0.00067 8e-04 0.00078 0.00073 0.00081 0.00094 0.00099 0.00108 0.00117 0.00128 0.0014 0.00159 0.00182 0.00188 0.00214 0.00239 0.00281 0.00318 0.00349 0.00388 0.00449 0.00485 0.00558 0.00619 0.00691 0.00789 0.00873 0.00939 0.0101 0.0113 0.01263 0.01429 0.01391 0.01609 0.01822 0.01956 0.02186 0.02338 0.02595 0.02855 0.03064 0.03309 0.03742 0.03991 0.04442 0.04927 0.05506 0.05877 0.06601 0.07059 0.07727 0.08707 0.0917 0.10171 0.11107 0.1213 0.13502 0.14725 0.16123 0.17177 0.18736 0.20572 0.22836 0.24072 0.2722 0.29435 0.30892 0.33497 0.35996 0.38582 0.41243 0.43964 0.4673 0.49524 0.52328 0.55124 0.57893 0.6062 0.63287 0.65879 0.68384 0.7079 0.73088
"1980" 0.0125 0.00083 0.00051 0.00036 0.00035 0.00032 0.00027 0.00025 0.00027 0.00021 0.00022 0.00024 0.00022 0.00023 0.00029 3e-04 0.00045 0.00072 8e-04 0.00071 0.00071 0.00066 0.00064 0.00064 0.00066 0.00063 0.00067 0.00072 0.00066 7e-04 7e-04 0.00073 8e-04 0.00087 9e-04 0.00107 0.00112 0.00125 0.00138 0.00148 0.00168 0.00196 0.00188 0.00241 0.00269 0.00291 0.00332 0.0036 0.00411 0.0048 0.00534 0.00588 0.00647 0.00742 0.00828 0.00903 0.01019 0.01089 0.01217 0.01344 0.01573 0.01478 0.01714 0.01923 0.02119 0.02311 0.02503 0.02751 0.02949 0.03263 0.03567 0.03911 0.04381 0.04737 0.05254 0.05714 0.06271 0.06943 0.07518 0.08203 0.0914 0.09552 0.10619 0.11938 0.12789 0.14181 0.15596 0.16939 0.18058 0.19981 0.21816 0.23906 0.25814 0.27487 0.29733 0.32389 0.34847 0.37398 0.4003 0.4273 0.45483 0.48271 0.51076 0.53881 0.56668 0.59418 0.62114 0.64742 0.67287 0.69737 0.72082
"1981" 0.01121 0.00078 0.00049 0.00037 0.00033 0.00027 0.00028 0.00024 0.00021 2e-04 0.00022 0.00022 0.00021 0.00026 3e-04 0.00036 4e-04 7e-04 0.00075 7e-04 0.00068 0.00059 0.00062 0.00063 0.00059 0.00059 0.00064 0.00068 0.00066 0.00072 0.00074 0.00077 0.00076 0.00084 0.00088 0.00093 0.00108 0.00115 0.00134 0.00133 0.00176 0.00181 0.00209 0.00222 0.00255 0.00295 0.00321 0.00368 0.00393 0.00467 0.00529 0.00558 0.00622 0.00727 0.00805 0.0091 0.00966 0.01093 0.01162 0.01318 0.01444 0.01654 0.01588 0.01814 0.02052 0.02238 0.02439 0.02682 0.02925 0.03195 0.03557 0.03886 0.04311 0.04723 0.05094 0.05623 0.06121 0.06657 0.07363 0.08035 0.08967 0.09933 0.10553 0.11644 0.12885 0.13686 0.15514 0.16586 0.17922 0.20132 0.21196 0.23556 0.263 0.27314 0.29622 0.32151 0.34594 0.37131 0.3975 0.42436 0.45175 0.47951 0.50746 0.53541 0.56319 0.59062 0.61753 0.64377 0.6692 0.6937 0.71717
"1982" 0.01102 0.00079 0.00047 0.00033 0.00027 0.00024 0.00023 0.00021 0.00023 0.00018 0.00022 0.00021 0.00022 0.00024 3e-04 0.00034 0.00043 0.00065 0.00069 0.00067 0.00069 6e-04 0.00061 0.00061 0.00061 0.00063 0.00067 0.00061 0.00065 0.00067 0.00076 0.00075 0.00084 0.00081 9e-04 0.00099 0.001 0.00116 0.00123 0.00142 0.00162 0.00186 0.00191 0.00207 0.00245 0.00279 0.00312 0.00352 0.00376 0.00444 0.00494 0.00542 0.00624 0.00694 0.00781 0.00876 0.00943 0.01085 0.01174 0.01287 0.01443 0.01524 0.01803 0.01729 0.02027 0.02246 0.0243 0.02702 0.02943 0.03182 0.03519 0.03805 0.04263 0.04709 0.05154 0.05606 0.06102 0.06705 0.07335 0.08102 0.0901 0.0974 0.10984 0.11335 0.1266 0.14124 0.15358 0.16389 0.1824 0.19961 0.21505 0.23161 0.25622 0.27833 0.31067 0.32127 0.34581 0.3713 0.39762 0.42463 0.45217 0.48008 0.50817 0.53626 0.56417 0.59171 0.61872 0.64504 0.67053 0.69507 0.71855
"1983" 0.01029 7e-04 0.00044 0.00033 0.00031 0.00026 0.00026 0.00022 0.00021 0.00021 0.00018 0.00022 0.00024 0.00024 0.00028 0.00034 0.00045 6e-04 0.00065 0.00066 0.00067 6e-04 0.00058 5e-04 0.00053 0.00062 0.00062 0.00064 0.00067 0.00066 7e-04 0.00072 0.00082 0.00081 0.00086 0.001 0.00102 0.00104 0.00128 0.00142 0.00149 0.00168 0.00196 0.00219 0.0024 0.00277 0.003 0.00342 0.00391 0.00434 0.00475 0.0051 0.00606 0.00676 0.00743 0.00833 0.00949 0.01047 0.01161 0.01261 0.01397 0.01522 0.01696 0.01992 0.01894 0.0216 0.02428 0.02666 0.02942 0.03153 0.03504 0.03769 0.04166 0.04598 0.05053 0.05511 0.05994 0.0649 0.07219 0.07831 0.08698 0.09565 0.10572 0.11755 0.12369 0.13501 0.15135 0.1648 0.17908 0.19469 0.21553 0.22831 0.2491 0.27334 0.30101 0.31816 0.34274 0.36829 0.3947 0.42183 0.44951 0.47759 0.50586 0.53415 0.56227 0.59004 0.61727 0.64382 0.66953 0.69428 0.71797
"1984" 0.00976 0.00076 0.00041 0.00034 0.00025 0.00024 0.00023 0.00022 2e-04 2e-04 0.00021 2e-04 0.00023 0.00022 0.00028 0.00036 0.00041 0.00057 0.00057 0.00064 0.00064 0.00059 0.00058 0.00057 0.00057 6e-04 0.00061 0.00067 0.00069 0.00067 0.00063 0.00072 0.00077 0.00087 0.00089 0.00095 0.00094 0.0011 0.00119 0.00139 0.00146 0.0016 0.00183 0.00213 0.00235 0.0027 0.00294 0.00328 0.00372 0.00426 0.00459 0.0051 0.00568 0.00644 0.00735 0.00798 0.00906 0.01002 0.01123 0.01255 0.01369 0.01493 0.01657 0.01831 0.02074 0.01979 0.02326 0.02611 0.02836 0.03093 0.03405 0.03646 0.04041 0.04428 0.04895 0.05339 0.05795 0.06336 0.06911 0.07579 0.08448 0.09082 0.09977 0.11032 0.12157 0.12995 0.14178 0.15774 0.1705 0.18304 0.20694 0.2245 0.2393 0.26294 0.28803 0.3066 0.33079 0.35602 0.38219 0.40914 0.43674 0.46482 0.49318 0.52165 0.55003 0.57814 0.60578 0.63279 0.65901 0.68432 0.70859
"1985" 0.00949 0.00077 0.00044 0.00035 0.00025 0.00022 2e-04 0.00022 0.00018 0.00021 2e-04 0.00023 0.00023 0.00025 0.00029 0.00031 4e-04 0.00057 0.00059 0.00058 0.00064 0.00061 6e-04 0.00055 0.00053 0.00055 0.00058 0.00056 0.00066 0.00061 7e-04 0.00073 0.00077 8e-04 0.00081 0.00101 0.00107 0.0011 0.00115 0.00137 0.00162 0.00168 0.00182 0.00206 0.00229 0.0027 0.00288 0.00318 0.00367 0.00397 0.00447 0.00497 0.00578 0.00629 0.00725 0.00786 0.00891 0.00981 0.01136 0.01236 0.01389 0.01525 0.01661 0.01826 0.02027 0.02346 0.02177 0.02522 0.02892 0.03131 0.0354 0.03765 0.04191 0.04526 0.04933 0.05537 0.06075 0.06532 0.0704 0.07789 0.0872 0.09425 0.10441 0.11442 0.12698 0.13977 0.14951 0.16213 0.17953 0.19549 0.21736 0.23213 0.26252 0.28182 0.2943 0.32333 0.34865 0.37497 0.40215 0.43005 0.45849 0.48728 0.51624 0.54515 0.57381 0.60204 0.62965 0.65648 0.68237 0.70721 0.7309
"1986" 0.00959 0.00067 0.00041 0.00033 0.00026 0.00022 2e-04 2e-04 0.00017 0.00016 0.00017 0.00018 0.00019 0.00022 0.00025 0.00033 4e-04 0.00055 0.00068 0.00062 0.00061 6e-04 0.00063 0.00061 0.00054 0.00054 0.00061 0.00059 0.00065 0.00065 0.00072 7e-04 8e-04 8e-04 0.00093 0.00086 0.00098 0.00112 0.00124 0.00127 0.00152 0.00158 0.00182 0.00201 0.00227 0.00266 0.00299 0.00315 0.00346 0.00399 0.00446 0.00499 0.00543 0.00613 0.00677 0.00763 0.00866 0.00935 0.01071 0.01236 0.01367 0.01481 0.0165 0.01779 0.01939 0.02148 0.02483 0.02383 0.02725 0.03121 0.03331 0.03691 0.04109 0.04411 0.04909 0.05298 0.05856 0.06393 0.06995 0.07663 0.08419 0.09255 0.10095 0.11078 0.12052 0.13361 0.14951 0.15595 0.17396 0.19214 0.20983 0.22389 0.2417 0.27475 0.29226 0.31275 0.33739 0.36307 0.38966 0.41702 0.445 0.47343 0.5021 0.53083 0.55942 0.58767 0.61541 0.64246 0.66867 0.69391 0.71806
"1987" 0.00931 0.00067 0.00042 3e-04 0.00025 0.00022 2e-04 0.00016 0.00016 0.00017 0.00015 0.00017 2e-04 0.00026 0.00028 0.00032 0.00038 0.00056 0.00063 0.00065 0.00063 0.00063 0.00059 0.00058 0.00059 0.00057 0.00061 0.00059 0.00062 0.00062 0.00072 0.00076 8e-04 0.00089 0.00092 0.00095 0.00103 0.00112 0.00112 0.0013 0.00139 0.00157 0.00185 0.00203 0.00222 0.00249 0.00288 0.00313 0.00336 0.00372 0.0043 0.00478 0.00533 0.0059 0.0067 0.0074 0.0085 0.00951 0.01055 0.01151 0.01283 0.01475 0.01579 0.01731 0.01911 0.02115 0.02273 0.02664 0.02506 0.02941 0.03285 0.03584 0.03971 0.04303 0.04702 0.05134 0.05637 0.06128 0.06652 0.07388 0.08064 0.08731 0.09653 0.1059 0.11689 0.1255 0.13947 0.15348 0.15888 0.18121 0.19734 0.2092 0.23494 0.25309 0.28122 0.29559 0.31911 0.34372 0.36931 0.39577 0.42296 0.45071 0.47886 0.50722 0.53561 0.56383 0.59169 0.61903 0.64568 0.67148 0.69632
"1988" 0.0091 0.00065 0.00042 0.00034 0.00024 2e-04 2e-04 0.00021 0.00021 0.00015 0.00017 0.00018 0.00018 0.00025 0.00026 0.00032 0.00039 0.00058 0.00062 0.00059 0.00068 0.00061 0.00061 0.00063 0.00058 0.00058 0.00057 0.00061 0.00064 0.00065 0.00068 0.00076 0.00081 0.00088 0.00099 0.00099 0.00103 0.00112 0.00117 0.0013 0.00144 0.00166 0.00173 0.00201 0.00222 0.00247 0.00277 0.00312 0.00354 0.00374 0.0042 0.00462 0.00503 0.00594 0.00638 0.00725 0.00807 0.00905 0.00989 0.01131 0.01253 0.01424 0.01592 0.01732 0.01911 0.02068 0.02294 0.02461 0.02869 0.02756 0.03149 0.03521 0.03867 0.04316 0.04693 0.05085 0.05588 0.06 0.06584 0.07274 0.07996 0.08797 0.0959 0.10651 0.1147 0.12782 0.13921 0.15261 0.16594 0.17879 0.19714 0.21348 0.23863 0.25884 0.2719 0.30088 0.32516 0.35055 0.37694 0.4042 0.43218 0.4607 0.48958 0.51861 0.54759 0.57631 0.60459 0.63224 0.65909 0.68499 0.70983
"1989" 0.00849 0.00064 0.00042 0.00033 0.00026 0.00023 0.00019 2e-04 0.00016 0.00017 0.00017 0.00017 2e-04 2e-04 0.00024 0.00031 0.00041 0.00058 0.00065 0.00064 0.00063 0.00063 0.00063 0.00059 0.00065 0.00063 0.00058 0.00058 0.00064 0.00069 0.00068 0.00075 0.00074 0.00084 0.00089 0.00097 0.00108 0.00115 0.00119 0.00128 0.00144 0.00149 0.0017 0.00186 0.0022 0.00243 0.00257 0.00308 0.00337 0.00371 0.00407 0.00448 0.0049 0.00561 0.00622 0.00691 0.00787 0.00879 0.00966 0.01093 0.01235 0.01369 0.01505 0.01675 0.01867 0.02068 0.02225 0.0249 0.0264 0.03121 0.0301 0.03417 0.03878 0.04189 0.04664 0.05091 0.05578 0.06102 0.06632 0.07343 0.08151 0.08874 0.09774 0.10648 0.11748 0.12865 0.14203 0.15468 0.16993 0.18841 0.20096 0.22293 0.24427 0.26957 0.29243 0.31094 0.33604 0.36224 0.3894 0.41738 0.44602 0.47512 0.50449 0.53391 0.56318 0.59209 0.62043 0.64802 0.67471 0.70035 0.72483
"1990" 0.0081 0.00065 0.00036 3e-04 0.00022 0.00019 2e-04 0.00015 0.00017 0.00016 0.00016 0.00019 0.00018 0.00021 0.00025 0.00032 0.00045 0.00059 0.00061 0.00058 0.00065 0.00064 0.00065 0.00065 0.00062 0.00063 7e-04 0.00066 0.00069 0.00072 0.00068 0.00076 0.00081 8e-04 0.00083 0.00097 0.00107 0.00116 0.00123 0.00135 0.00135 0.00164 0.00177 0.00185 0.00199 0.00243 0.00264 0.00297 0.00318 0.00354 0.00409 0.00455 0.00481 0.0054 0.00593 0.00676 0.00768 0.00859 0.00937 0.0104 0.0118 0.01321 0.01457 0.01634 0.01843 0.02024 0.02157 0.02421 0.02614 0.02895 0.03283 0.03126 0.03661 0.04164 0.0448 0.04929 0.05363 0.05876 0.06426 0.07106 0.07829 0.0843 0.09341 0.10342 0.11099 0.12373 0.13585 0.14719 0.15692 0.17346 0.19102 0.2098 0.23102 0.2523 0.27244 0.29387 0.3178 0.34288 0.369 0.39603 0.42384 0.45226 0.48109 0.51014 0.53921 0.5681 0.59659 0.62451 0.65167 0.67792 0.70313
"1991" 0.00739 0.00063 0.00037 0.00027 0.00022 2e-04 0.00018 0.00018 0.00017 0.00018 0.00016 0.00016 0.00016 2e-04 0.00028 0.00035 0.00041 0.00056 0.00063 0.00065 6e-04 0.00061 0.00063 0.00068 0.00062 0.00063 0.00064 0.00064 0.00063 0.00066 0.00068 0.00074 0.00079 8e-04 0.00091 0.00095 0.00102 0.00114 0.00121 0.00139 0.00139 0.00149 0.00176 0.00187 0.00204 0.00225 0.00268 0.0028 0.00322 0.00353 0.0039 0.00445 0.00488 0.00529 0.00587 0.00668 0.00723 0.00804 0.00894 0.01028 0.01139 0.01296 0.0138 0.01574 0.01756 0.01982 0.02148 0.0239 0.02558 0.02834 0.03143 0.03586 0.03489 0.0399 0.04487 0.04796 0.05338 0.059 0.06432 0.07057 0.07779 0.08525 0.09337 0.10158 0.11339 0.12237 0.13649 0.14954 0.16196 0.17667 0.1973 0.21403 0.23197 0.25704 0.28148 0.29923 0.3237 0.34932 0.37597 0.40353 0.43183 0.46069 0.48993 0.51934 0.54869 0.57779 0.60643 0.63442 0.66157 0.68775 0.71282
"1992" 0.00657 0.00053 0.00033 0.00025 2e-04 0.00017 0.00017 0.00016 0.00015 0.00015 0.00014 0.00013 0.00018 0.00018 0.00022 0.00027 0.00034 5e-04 0.00058 0.00058 0.00057 0.00062 0.00062 0.00059 0.00064 0.00059 0.00062 0.00062 0.00068 0.00069 0.00068 0.00078 0.00077 0.00081 0.00087 0.00099 0.00102 0.00108 0.00128 0.00134 0.00144 0.00156 0.00167 0.00177 0.00205 0.00219 0.00247 0.00275 0.00309 0.00334 0.00382 0.00411 0.00479 0.00526 0.00557 0.00631 0.00694 0.00798 0.00893 0.00972 0.01115 0.0123 0.01375 0.01528 0.017 0.01892 0.02089 0.02307 0.02553 0.02762 0.0303 0.03326 0.03878 0.03702 0.04304 0.04767 0.05221 0.05763 0.06251 0.06793 0.07564 0.08234 0.09076 0.09927 0.10912 0.11911 0.13141 0.1456 0.15495 0.17155 0.18872 0.20405 0.22479 0.24144 0.26172 0.28623 0.30956 0.33405 0.3596 0.38609 0.41341 0.44138 0.46984 0.4986 0.52746 0.55622 0.58468 0.61265 0.63996 0.66643 0.69193
